Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG,npxG,xA,npxG+xA,xG_90,xA_90,xG+xA_90,npxG_90,npxG+xA_90
Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,22-003,2000,18,18,1620,18,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.6,0.6,0.9,1.4,0.03,0.05,0.08,0.03,0.08
Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-101,1987,18,18,1620,18,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,1,1,0.2,1.1,0.05,0.01,0.06,0.05,0.06
Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21-287,2000,17,16,1415,15.7,0,0,0,0,0,5,1,0,0,0,0,0,0.4,0.4,0.8,1.2,0.02,0.05,0.07,0.02,0.07
Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28-340,1993,18,18,1587,17.6,0,1,0,0,0,6,0,0,0.06,0.06,0,0.06,1.6,1.6,1.7,3.2,0.09,0.09,0.18,0.09,0.18
Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21-270,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-065,1998,14,5,564,6.3,0,1,0,0,0,2,0,0,0.16,0.16,0,0.16,1.9,1.9,1.1,3.1,0.31,0.18,0.49,0.31,0.49
Matthis Abline\bbe96b16,fr FRA,FW,Rennes,fr Ligue 1,18-285,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0.3,0.03,0.32,0.3,0.32
Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-097,1997,19,19,1580,17.6,7,3,7,0,0,6,0,0.4,0.17,0.57,0.4,0.57,9.8,9.8,2.6,12.4,0.56,0.15,0.71,0.56,0.71
Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25-314,1996,8,6,560,6.2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.08,0,0.08,0.08,0.08
Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33-331,1988,18,18,1539,17.1,3,0,3,0,0,1,1,0.18,0,0.18,0.18,0.18,1,1,0.2,1.3,0.06,0.01,0.07,0.06,0.07
Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,de Bundesliga,23-163,1998,9,0,113,1.3,0,1,0,0,0,0,0,0,0.8,0.8,0,0.8,0.4,0.4,0.3,0.7,0.32,0.22,0.54,0.32,0.54
Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-071,1991,16,12,1085,12.1,1,3,1,0,0,3,0,0.08,0.25,0.33,0.08,0.33,1,1,1.8,2.8,0.08,0.15,0.23,0.08,0.23
Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-178,1996,13,11,868,9.6,3,1,3,0,0,0,0,0.31,0.1,0.41,0.31,0.41,2.4,2.4,1.4,3.8,0.25,0.15,0.4,0.25,0.4
Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,22-327,1999,13,7,798,8.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.7,0.8,0.02,0.08,0.1,0.02,0.1
Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28-229,1993,12,2,330,3.7,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32
Martin Adeline\7587446d,fr FRA,FW,Reims,fr Ligue 1,18-036,2003,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21-242,2000,15,8,797,8.9,2,1,2,0,0,1,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.1,0.24,0.14,0.24
Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-162,2000,19,15,1303,14.5,1,6,1,0,0,2,0,0.07,0.41,0.48,0.07,0.48,1.3,1.3,3.8,5.1,0.09,0.27,0.36,0.09,0.36
Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18-353,2003,6,0,186,2.1,2,0,2,0,0,3,1,0.97,0,0.97,0.97,0.97,1.1,1.1,0.1,1.2,0.51,0.06,0.57,0.51,0.57
Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-242,1996,14,12,1134,12.6,0,1,0,0,0,3,0,0,0.08,0.08,0,0.08,0.1,0.1,0.9,0.9,0.01,0.07,0.08,0.01,0.08
Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,21-012,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19-332,2002,13,10,888,9.9,0,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.2,0.8,0.06,0.02,0.09,0.06,0.09
Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,it Serie A,23-054,1998,6,2,277,3.1,0,0,0,0,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,0.03,0.1,0.13,0.03,0.13
Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25-283,1996,18,18,1610,17.9,2,1,2,0,0,1,0,0.11,0.06,0.17,0.11,0.17,1.4,1.4,0.2,1.6,0.08,0.01,0.09,0.08,0.09
Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-219,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.6,0,0.6,0.6,0.6,1.1,1.1,0.3,1.3,0.64,0.16,0.8,0.64,0.8
Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,28-256,1993,14,10,998,11.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0,0.03,0.03,0,0.03
Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,es La Liga,21-338,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,27-293,1994,11,5,421,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.02,0.09,0.11,0.02,0.11
Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-100,1995,13,11,954,10.6,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01
Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-091,1996,16,13,1066,11.8,0,0,0,0,0,4,0,0,0,0,0,0,0.3,0.3,1.3,1.5,0.02,0.11,0.13,0.02,0.13
Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-215,2001,9,8,718,8,0,1,0,0,0,1,0,0,0.13,0.13,0,0.13,0.3,0.3,0.6,0.8,0.04,0.07,0.11,0.04,0.11
Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,23-265,1998,7,6,565,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07
Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,27-316,1994,17,16,1339,14.9,9,5,7,2,2,4,1,0.6,0.34,0.94,0.47,0.81,6.3,4.8,1.6,6.4,0.42,0.11,0.53,0.32,0.43
Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-172,1995,14,14,1260,14,0,0,0,0,0,2,0,0,0,0,0,0,1.1,1.1,0,1.1,0.08,0,0.08,0.08,0.08
Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,28-301,1993,11,8,776,8.6,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.03,0.01,0.04,0.03,0.04
Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,26-323,1995,8,6,581,6.5,1,0,1,0,0,0,0,0.15,0,0.15,0.15,0.15,0.3,0.3,0,0.3,0.04,0,0.04,0.04,0.04
Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,17-266,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34
Maghnes Akliouche\b625b241,fr FRA,MF,Monaco,fr Ligue 1,19-316,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,24-018,1997,3,2,179,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.02,0.01,0.03,0.02,0.03
Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,29-088,1992,8,4,302,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.12,0.01,0.13,0.12,0.13
Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,26-263,1995,15,12,932,10.4,2,1,2,0,0,2,0,0.19,0.1,0.29,0.19,0.29,1.2,1.2,1.4,2.6,0.12,0.13,0.25,0.12,0.25
David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-197,1992,18,18,1612,17.9,1,3,1,0,0,1,0,0.06,0.17,0.22,0.06,0.22,0.6,0.6,1.7,2.3,0.03,0.09,0.13,0.03,0.13
Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23-162,1998,4,0,158,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,22-353,1999,16,13,1146,12.7,0,1,0,0,0,5,0,0,0.08,0.08,0,0.08,1,1,0.9,1.9,0.08,0.07,0.15,0.08,0.15
Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,29-091,1992,11,1,185,2.1,0,0,0,0,1,2,0,0,0,0,0,0,1.4,0.6,0.4,1,0.66,0.21,0.88,0.3,0.51
